indicator_code,indicator_label,spatial_level,region_or_country,year,numeric_value,value,ci_low,ci_high,disagg_dim1,disagg_dim1_code,source_file,TimeDimensionBegin,TimeDimensionEnd,Region name,Category
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2018,3.7037,4,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2018,12/31/2018,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2018,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2018,12/31/2018,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2018,59.25926,59,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2018,12/31/2018,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2019,40.74074,41,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2019,12/31/2019,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2019,3.7037,4,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2019,12/31/2019,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2019,1.85185,2,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2019,12/31/2019,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2019,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2019,12/31/2019,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2019,53.7037,54,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2019,12/31/2019,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2020,35.18519,35,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2020,12/31/2020,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2020,1.85185,2,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2020,12/31/2020,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2020,5.55556,6,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2020,12/31/2020,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2020,3.7037,4,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2020,12/31/2020,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2020,53.7037,54,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2020,12/31/2020,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2017,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2017,12/31/2017,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2017,9.09091,9,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2017,12/31/2017,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2017,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2017,12/31/2017,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2017,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2017,12/31/2017,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2017,90.90909,91,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2017,12/31/2017,SE Asia,Coordination
